"county","ass","asshole","bastard","bitch","bitched","bitchy","bloody","bullshit","cock","crap","crappy","cunt","damn","damnit","damned","darn","dick","dickhead","douche","douchebag","dumbass","dyke","fag","faggot","fatass","freaking","friggin","fuck","fucked","fucker","fuckery","fucking","goddamn","gosh","hell","hoe","homo","jackass","motherfucker","motherfucking","nigger","piss","pissed","pissy","pussy","shit","shittiest","shitty","slut","slutty","twat","whore"
"virginia,bath",1000.267,114.316,38.105,847.845,19.053,19.053,0,104.79,0,47.632,0,19.053,1038.372,38.105,28.579,9.526,161.948,0,28.579,9.526,9.526,0,95.263,57.158,0,104.79,9.526,971.688,104.79,9.526,0,543.002,9.526,295.317,933.582,76.211,0,9.526,0,0,0,66.684,266.738,19.053,66.684,1448.005,0,47.632,66.684,19.053,0,76.211
"virginia,bedford",942.337,73.104,11.016,788.118,4.006,3.004,10.014,156.222,9.013,103.146,13.018,14.02,971.378,24.034,10.014,21.03,182.259,2.003,6.009,5.007,33.047,5.007,16.023,16.023,5.007,91.129,7.01,1381.961,172.244,11.016,2.003,764.084,21.03,91.129,606.861,122.173,8.011,5.007,15.021,5.007,5.007,72.102,172.244,6.009,82.117,1791.542,7.01,81.115,40.057,11.016,9.013,45.064
"virginia,bland",732.723,38.564,25.71,668.449,12.855,0,0,115.693,12.855,141.403,0,51.419,694.159,0,25.71,25.71,167.112,0,12.855,12.855,64.274,0,12.855,25.71,0,257.096,0,951.255,77.129,38.564,0,527.046,12.855,64.274,604.175,115.693,12.855,0,12.855,0,0,257.096,231.386,12.855,77.129,1298.334,0,102.838,64.274,12.855,51.419,64.274
"virginia,botetourt",709.491,41.735,20.867,499.078,6.956,13.912,15.651,126.943,6.956,191.284,24.345,20.867,559.942,20.867,8.695,22.606,107.815,3.478,15.651,8.695,27.823,3.478,29.562,19.128,6.956,140.855,8.695,935.555,104.337,31.301,3.478,511.251,3.478,74.775,466.038,66.08,12.173,0,3.478,3.478,8.695,60.863,168.678,5.217,102.598,1220.742,6.956,59.124,33.04,10.434,8.695,45.213
"virginia,brunswick",1953.125,27.127,7.75,1298.208,15.501,3.875,0,124.008,3.875,27.127,3.875,0,1581.101,3.875,15.501,11.626,174.386,0,3.875,0,19.376,3.875,0,15.501,3.875,50.378,3.875,1988.002,306.145,7.75,0,747.923,7.75,38.752,840.929,213.139,0,7.75,11.626,15.501,11.626,85.255,193.762,0,240.265,3282.335,0,31.002,3.875,7.75,0,23.251
"virginia,buchanan",790.92,138.845,12.397,587.611,4.959,19.835,17.356,74.381,27.273,131.407,12.397,19.835,652.075,37.191,22.314,19.835,223.143,4.959,24.794,2.479,54.546,0,34.711,66.943,0,262.813,0,1504.979,104.134,12.397,4.959,2055.399,223.143,79.34,644.637,27.273,12.397,7.438,37.191,9.917,2.479,247.937,349.591,34.711,74.381,1646.303,4.959,74.381,59.505,17.356,2.479,44.629
"virginia,buckingham",2001.254,63.331,3.167,1149.454,3.167,3.167,12.666,202.659,60.164,66.497,3.167,12.666,1428.11,22.166,28.499,6.333,246.99,0,9.5,3.167,44.332,9.5,22.166,25.332,0,60.164,0,1934.757,193.159,22.166,3.167,658.641,9.5,72.83,785.302,294.488,9.5,6.333,18.999,3.167,15.833,91.83,310.321,15.833,151.994,3413.531,0,85.497,50.665,0,0,22.166
"virginia,campbell",1006.449,31.9,6.418,781.451,3.964,7.173,7.55,130.242,6.418,88.904,12.647,10.193,764.652,13.402,14.723,13.024,148.74,1.133,13.402,4.153,19.064,0.755,8.683,8.494,2.454,128.732,7.739,1386.793,183.094,18.309,6.04,611.948,15.667,89.659,523.421,171.58,4.719,2.265,9.06,5.285,3.209,54.551,142.322,5.285,131.374,1987.604,2.265,40.583,22.84,6.229,3.209,21.896
"virginia,caroline",1551.286,100.455,8.234,1289.445,0,8.234,3.294,182.795,14.821,52.698,1.647,14.821,965.025,13.174,21.408,13.174,189.382,8.234,19.762,3.294,27.996,1.647,4.94,21.408,1.647,74.106,0,1757.136,240.433,23.055,18.115,928.796,11.528,39.523,609.316,177.854,4.94,8.234,21.408,13.174,3.294,62.578,191.029,3.294,133.391,2916.484,3.294,47.757,31.289,1.647,6.587,31.289
"virginia,carroll",575.393,87.487,3.365,679.704,0,13.459,0,309.568,13.459,188.433,10.095,47.108,565.299,13.459,6.73,10.095,178.338,3.365,10.095,6.73,20.189,0,30.284,3.365,0,181.703,6.73,1356.044,131.23,23.554,6.73,763.826,6.73,74.027,508.096,84.122,3.365,0,33.649,6.73,3.365,90.852,201.892,0,84.122,1319.03,6.73,74.027,80.757,6.73,6.73,67.297
"virginia,charles city",1451.315,43.649,21.824,1189.424,21.824,0,10.912,76.385,32.736,43.649,0,10.912,1058.478,21.824,0,0,174.594,0,21.824,10.912,65.473,10.912,0,10.912,10.912,43.649,10.912,2116.956,305.54,0,0,1069.39,0,32.736,720.202,250.979,10.912,0,21.824,21.824,0,43.649,130.946,0,174.594,3164.522,32.736,76.385,43.649,0,0,76.385
"virginia,charlotte",1621.19,22.834,11.417,1358.603,11.417,0,0,194.086,0,91.335,0,0,1929.444,68.501,11.417,11.417,102.751,0,0,0,34.25,0,11.417,11.417,0,159.836,0,2260.532,331.088,22.834,0,981.847,0,125.585,799.178,308.254,0,0,11.417,22.834,0,34.25,125.585,0,102.751,3310.88,0,34.25,57.084,0,0,34.25
"virginia,chesterfield",1490.324,63.885,6.19,1011.846,4.87,8.584,7.016,129.916,14.94,69.25,7.181,12.463,1026.703,21.625,8.667,17.086,263.63,3.302,12.794,2.311,27.651,4.705,26.743,33.428,2.229,102.431,3.549,1866.785,236.062,20.387,6.603,902.564,14.527,58.025,625.481,199.909,14.774,4.375,12.546,5.695,10.895,57.365,148.075,3.384,182.164,2597.502,2.806,57.282,30.787,5.695,1.898,28.806
