county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"tennessee,rutherford",19358.53,2776.62,2180.13,12809.86,3829.56,2873.83,11297.18,990.35,1557.05,725.99,1281.21,290.17,109.47,1066.67,10.62,605.64,13.64,10.88
"tennessee,scott",21324.85,2551.93,2432.58,13441.7,3410.16,2233.65,11526.33,971.89,1813.07,772.97,1227.66,375.12,142.09,892.32,5.68,778.65,11.37,17.05
"tennessee,sequatchie",19121.47,2621.49,2210.28,12769.68,3935.91,2012.01,10977.96,1189.59,1637.52,917.89,1593.46,374.5,73.43,1042.72,22.03,815.09,22.03,14.69
"tennessee,sevier",20367.13,2326.14,1779.86,12353.77,4274.79,2183.36,11007.87,924.37,1406.51,903.08,1092.27,329.01,125.04,984.67,8.57,680.79,14.48,10.35
"tennessee,shelby",17854.3,3035.25,2649.66,11739.17,3787.42,3225.89,10835.47,1156.79,1758.11,807.86,1433.18,236.73,107.53,1298.85,12.06,813.08,12.65,9.39
"tennessee,smith",24946.81,3049.95,2441.63,14141.43,4316.6,2527.74,10972.04,1130.54,1722.19,797.21,1294.42,441.66,130.55,933.32,5.55,369.44,22.22,13.89
"tennessee,stewart",22414.47,2466.99,2409.28,13402.52,4539.64,2207.3,11661.68,966.6,1750.45,904.08,1240.71,413.57,168.31,836.76,9.62,971.41,0,9.62
"tennessee,sullivan",21700.72,2526.11,1650.8,13282.03,3943.49,2503.46,10340.53,945.95,1297.61,801.6,1229.65,291.77,114.02,1041.54,7.68,639.97,18.04,12.29
"tennessee,sumner",21361.34,2632.97,1931.53,12915.7,4067.74,2541.3,11454.81,1034.7,1431.26,861.16,1194.43,311.42,120.8,1096.99,8.54,695.41,17.33,14.31
"tennessee,tipton",21299.05,3038.18,2359.93,13712.06,3948.14,3083.92,11565.95,1140.68,1596.16,695.15,1423.12,373.93,139.23,1040.24,8.95,881.12,16.91,8.95
"tennessee,trousdale",24817.31,4312.41,2827.39,12995.95,3834.18,3305.62,13130.19,1401.11,1971.62,897.72,1493.4,360.76,184.58,1258.48,16.78,973.23,8.39,8.39
"tennessee,unicoi",22332.46,2764.89,1520.24,12917.62,3120.5,1982.54,11201.79,1004.61,1120.18,622.32,1013.5,293.38,71.12,942.37,8.89,924.59,26.67,0
"tennessee,union",21135.82,2750.95,2504.22,13121.48,3803.63,2602.91,12973.45,1056.79,2212.27,736.05,1443.32,419.43,189.15,871.75,32.9,600.36,20.56,4.11
"tennessee,van buren",20715.25,3711.69,1630.13,15849.93,4664.69,2006.32,10232.23,1429.5,1605.06,501.58,927.92,376.19,75.24,953,0,576.82,25.08,0
"tennessee,warren",19852.42,2210.35,1877.13,13028.85,3554.33,2262.18,10814.79,781.21,1680.9,810.83,1214.4,340.62,133.29,844.15,11.11,810.83,22.21,7.41
"tennessee,washington",20597.19,2367.45,1906.89,13370.88,3755.46,2563.07,11018.76,918.45,1512.65,885.13,1206.05,317.93,112.64,984.44,10,628.85,15.33,11
"tennessee,wayne",18895.02,4830.73,2187.14,12780.52,4108.03,2672.12,10897.68,1683.15,1445.42,741.73,1540.51,408.9,85.58,1492.96,9.51,532.52,38.04,0
"tennessee,weakley",20857.44,2378.09,2186.05,13075.28,3688.78,2886.14,11569.75,858.57,1558.67,769.08,1310.7,330,124.92,888.4,5.59,671.2,13.98,16.78
"tennessee,white",24489.53,2648.2,1644.4,12822.32,3939.51,2148.82,11384.73,1442.64,1291.31,933.17,1306.44,363.18,110.97,736.45,0,665.83,10.09,15.13
"tennessee,williamson",19570.34,2576.32,1651.01,12415.49,4179.65,2541.31,9496.35,966.84,1366.46,994.4,1215.44,259.4,114.15,1212.09,5.77,495.34,19.55,10.99
"tennessee,wilson",21788.19,2882.29,2105.05,13212.5,4018.75,2766.06,12331.42,1093.24,1556.85,884.77,1282.22,333.14,138.9,1054.24,13.44,599.86,14.23,12.12
"texas,anderson",23513.16,2695.62,2958.12,12409.96,3994.75,2831.16,14165.36,994.63,1893.81,654.81,1377.4,407.59,152.73,901.09,17.18,790.36,9.54,6.68
"texas,andrews",21267.39,2276.11,1701.15,13413.63,3757.95,2436.15,10094.3,1007.65,1428.49,960.23,1309.95,254.88,100.77,1061,11.86,705.36,11.86,35.56
"texas,angelina",23497.92,2737.13,2725.68,12380.95,3670.58,2872.06,13531.64,975.46,1820.65,606.74,1340.35,297.01,129.83,978.43,9.34,862.59,9.34,8.49
"texas,aransas",23265.16,2267.28,2439.35,12298.76,3872.2,2325.15,13405.75,918.18,1810.48,732.41,1167.9,371.54,127.91,808.55,7.61,956.25,15.23,7.61
"texas,archer",22456.92,2227.7,1874,12646.37,4325.08,1824.35,11759.01,905.97,1228.65,843.92,831.51,285.44,136.52,924.59,0,701.2,18.62,12.41
"texas,armstrong",19709.46,2473.5,1609.74,13859.44,5064.78,2355.71,10914.8,745.98,981.55,667.45,903.02,235.57,78.52,471.14,0,1295.64,39.26,0
"texas,atascosa",23785.2,2896.98,2554.06,13693.47,4099.01,2346.56,12794.31,1159.81,1844.19,732.43,1279.21,369.13,138.33,1079.72,6.55,800.87,13.11,17.47
